projection_x_coordinate,projection_y_coordinate,hw_threshold
-210000,1230000,100
-198000,1230000,100
-186000,1230000,100
-174000,1230000,100
-162000,1230000,100
-150000,1230000,100
-138000,1230000,100
-126000,1230000,100
-114000,1230000,100
-102000,1230000,100
-90000,1230000,100
-78000,1230000,100
-66000,1230000,100
-54000,1230000,100
-42000,1230000,100
-30000,1230000,100
-18000,1230000,100
-6000,1230000,100
6000,1230000,100
18000,1230000,100
30000,1230000,100
42000,1230000,100
54000,1230000,100
66000,1230000,100
78000,1230000,100
90000,1230000,100
102000,1230000,100
114000,1230000,100
126000,1230000,100
138000,1230000,100
150000,1230000,100
162000,1230000,100
174000,1230000,100
186000,1230000,100
198000,1230000,100
210000,1230000,100
222000,1230000,100
234000,1230000,100
246000,1230000,100
258000,1230000,100
270000,1230000,100
282000,1230000,100
294000,1230000,100
306000,1230000,100
318000,1230000,25
330000,1230000,25
342000,1230000,25
354000,1230000,25
366000,1230000,25
378000,1230000,25
390000,1230000,25
402000,1230000,25
414000,1230000,25
426000,1230000,25
438000,1230000,25
450000,1230000,25
462000,1230000,25
474000,1230000,25
486000,1230000,25
498000,1230000,25
510000,1230000,25
522000,1230000,25
534000,1230000,25
546000,1230000,25
558000,1230000,25
570000,1230000,25
582000,1230000,100
594000,1230000,100
606000,1230000,100
618000,1230000,100
630000,1230000,100
642000,1230000,100
654000,1230000,100
666000,1230000,100
678000,1230000,100
690000,1230000,100
702000,1230000,100
714000,1230000,100
726000,1230000,100
738000,1230000,100
750000,1230000,100
762000,1230000,100
-210000,1218000,100
-198000,1218000,100
-186000,1218000,100
-174000,1218000,100
-162000,1218000,100
-150000,1218000,100
-138000,1218000,100
-126000,1218000,100
-114000,1218000,100
-102000,1218000,100
-90000,1218000,100
-78000,1218000,100
-66000,1218000,100
-54000,1218000,100
-42000,1218000,100
-30000,1218000,100
-18000,1218000,100
-6000,1218000,100
6000,1218000,100
18000,1218000,100
30000,1218000,100
42000,1218000,100
54000,1218000,100
66000,1218000,100
78000,1218000,100
90000,1218000,100
102000,1218000,100
114000,1218000,100
126000,1218000,100
138000,1218000,100
150000,1218000,100
162000,1218000,100
174000,1218000,100
186000,1218000,100
198000,1218000,100
210000,1218000,100
222000,1218000,100
234000,1218000,100
246000,1218000,100
258000,1218000,100
270000,1218000,100
282000,1218000,100
294000,1218000,100
306000,1218000,100
318000,1218000,25
330000,1218000,25
342000,1218000,25
354000,1218000,25
366000,1218000,25
378000,1218000,25
390000,1218000,25
402000,1218000,25
414000,1218000,25
426000,1218000,25
438000,1218000,25
450000,1218000,25
462000,1218000,25
474000,1218000,25
486000,1218000,25
498000,1218000,25
510000,1218000,25
522000,1218000,25
534000,1218000,25
546000,1218000,25
558000,1218000,25
570000,1218000,25
582000,1218000,100
594000,1218000,100
606000,1218000,100
618000,1218000,100
630000,1218000,100
642000,1218000,100
654000,1218000,100
666000,1218000,100
678000,1218000,100
690000,1218000,100
702000,1218000,100
714000,1218000,100
726000,1218000,100
738000,1218000,100
750000,1218000,100
762000,1218000,100
-210000,1206000,100
-198000,1206000,100
-186000,1206000,100
-174000,1206000,100
-162000,1206000,100
-150000,1206000,100
-138000,1206000,100
-126000,1206000,100
-114000,1206000,100
-102000,1206000,100
-90000,1206000,100
-78000,1206000,100
-66000,1206000,100
-54000,1206000,100
-42000,1206000,100
-30000,1206000,100
-18000,1206000,100
-6000,1206000,100
6000,1206000,100
18000,1206000,100
30000,1206000,100
42000,1206000,100
54000,1206000,100
66000,1206000,100
78000,1206000,100
90000,1206000,100
102000,1206000,100
114000,1206000,100
126000,1206000,100
138000,1206000,100
150000,1206000,100
162000,1206000,100
174000,1206000,100
186000,1206000,100
198000,1206000,100
210000,1206000,100
222000,1206000,100
234000,1206000,100
246000,1206000,100
258000,1206000,100
270000,1206000,100
282000,1206000,100
294000,1206000,100
306000,1206000,100
318000,1206000,25
330000,1206000,25
342000,1206000,25
354000,1206000,25
366000,1206000,25
378000,1206000,25
390000,1206000,25
402000,1206000,25
414000,1206000,25
426000,1206000,25
438000,1206000,25
450000,1206000,25
462000,1206000,25
474000,1206000,25
486000,1206000,25
498000,1206000,25
510000,1206000,25
522000,1206000,25
534000,1206000,25
546000,1206000,25
558000,1206000,25
570000,1206000,25
582000,1206000,25
594000,1206000,100
606000,1206000,100
618000,1206000,100
630000,1206000,100
642000,1206000,100
654000,1206000,100
666000,1206000,100
678000,1206000,100
690000,1206000,100
702000,1206000,100
714000,1206000,100
726000,1206000,100
738000,1206000,100
750000,1206000,100
762000,1206000,100
-210000,1194000,100
-198000,1194000,100
-186000,1194000,100
-174000,1194000,100
-162000,1194000,100
-150000,1194000,100
-138000,1194000,100
-126000,1194000,100
-114000,1194000,100
-102000,1194000,100
-90000,1194000,100
-78000,1194000,100
